,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[18.76258993 27.85611511 15.53956835  1.84172662],93898,4,"[22, 23, 15]",6.083333333333333
1,[ 9.20863309 26.9352518   0.46043165 27.39568345],115597,22,"[20, 21, 1]",6.583333333333333
2,[ 6.44604317 15.07913669 25.55395683 16.92086331],85556,18,"[14, 14, 18]",6.083333333333333
3,[15.07913669 32.92086331  5.0647482  10.9352518 ],108731,5,"[14, 34, 11]",6.166666666666667
4,[17.38129496 14.15827338 29.23741007  3.22302158],92656,7,"[19, 12, 26]",6.0
5,[24.17266187 29.23741007  6.90647482  3.68345324],86145,8,"[15, 26, 15]",5.833333333333333
6,[20.94964029 21.52517986 16.          5.52517986],104146,12,"[8, 28, 16]",6.333333333333333
7,[32.92086331 15.07913669 14.15827338  1.84172662],111110,4,"[34, 14, 12]",6.416666666666667
8,[14.15827338  9.20863309 34.64748201  5.98561151],105859,13,"[12, 20, 19]",6.25
9,[ 0.92086331 32.46043165 18.30215827 12.31654676],96319,8,"[2, 33, 21]",5.75
10,[20.14388489 15.07913669  0.92086331 27.85611511],107646,23,"[25, 14, 2]",6.416666666666667
11,[26.9352518   4.60431655 31.07913669  1.38129496],116609,3,"[21, 10, 30]",6.166666666666667
12,[14.15827338 26.9352518  18.76258993  4.14388489],102108,9,"[12, 21, 22]",5.75
13,[11.85611511  5.52517986 40.63309353  5.98561151],91732,13,"[7, 12, 32]",5.666666666666667
14,[31.07913669 19.22302158  3.22302158 10.47482014],110958,4,"[30, 23, 7]",6.166666666666667
15,[16.         31.53956835  5.98561151 10.47482014],106784,4,"[16, 31, 13]",6.166666666666667
16,[ 1.84172662 27.85611511 17.38129496 16.92086331],101396,18,"[4, 23, 19]",6.083333333333333
17,[15.07913669 12.31654676 28.31654676  8.28776978],88324,18,"[14, 8, 24]",5.75
18,[25.55395683 22.90647482 11.85611511  3.68345324],92766,8,"[18, 31, 7]",5.916666666666667
19,[ 4.60431655 44.31654676  5.0647482  10.01438849],114508,3,"[10, 40, 11]",6.333333333333333
20,[15.07913669 22.90647482 25.09352518  0.92086331],117084,2,"[14, 31, 17]",5.916666666666667
21,[15.53956835 31.53956835  3.68345324 13.23741007],75345,10,"[15, 31, 8]",6.0
22,[18.76258993 14.61870504 16.46043165 14.15827338],91652,12,"[22, 13, 17]",6.0
23,[40.63309353 18.76258993  2.30215827  2.30215827],106715,5,"[32, 22, 5]",6.0
24,[10.9352518  19.68345324 29.69784173  3.68345324],98336,8,"[5, 24, 27]",5.833333333333333
25,[ 7.36690647 21.98561151 23.25179856 11.39568345],98679,6,"[16, 29, 13]",5.75
26,[13.69784173 10.01438849 32.46043165  7.82733813],109165,17,"[11, 3, 33]",6.0
27,[31.53956835  6.44604317 11.85611511 14.15827338],85588,12,"[31, 14, 7]",6.083333333333333
28,[36.94964029 21.52517986  3.68345324  1.84172662],73550,4,"[24, 28, 8]",5.916666666666667
29,[ 0.92086331 26.01438849 33.38129496  3.68345324],74580,8,"[2, 19, 35]",5.666666666666667
