,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 1.84172662 18.30215827 28.31654676 15.53956835],84066,15,"[4, 21, 24]",3.5833333333333335
1,[ 6.44604317 14.15827338  0.46043165 42.9352518 ],108550,37,"[14, 12, 1]",4.083333333333333
2,[14.61870504 16.92086331  6.44604317 26.01438849],82491,19,"[13, 18, 14]",3.4166666666666665
3,[18.76258993  1.84172662 30.15827338 13.23741007],85225,10,"[22, 4, 28]",3.5
4,[31.07913669  0.92086331 27.85611511  4.14388489],89851,9,"[30, 2, 23]",3.6666666666666665
5,[13.23741007 35.22302158  4.14388489 11.39568345],103023,6,"[10, 39, 9]",3.75
6,[ 2.76258993 33.84172662 22.79136691  4.60431655],81772,10,"[6, 36, 12]",3.25
7,[ 2.76258993 18.30215827 27.85611511 15.07913669],129276,14,"[6, 21, 23]",3.25
8,[12.77697842 30.15827338  5.98561151 15.07913669],70425,14,"[9, 28, 13]",3.1666666666666665
9,[12.31654676  9.09352518 21.98561151 20.60431655],97685,26,"[8, 1, 29]",3.75
10,[ 4.14388489 13.69784173 26.47482014 19.68345324],100064,24,"[9, 11, 20]",2.9166666666666665
11,[29.23741007 13.23741007 18.76258993  2.76258993],116326,6,"[26, 10, 22]",3.0833333333333335
12,[14.61870504 14.61870504 15.07913669 19.68345324],98716,24,"[13, 13, 14]",3.1666666666666665
13,[16.         17.38129496  3.22302158 27.39568345],84843,22,"[16, 19, 7]",3.4166666666666665
14,[12.31654676 15.53956835 24.28776978 11.85611511],95041,7,"[8, 15, 34]",3.8333333333333335
15,[16.         38.79136691  4.60431655  4.60431655],85708,10,"[16, 28, 10]",3.25
16,[ 1.38129496 28.31654676 32.          2.30215827],88657,5,"[3, 24, 32]",4.083333333333333
17,[ 5.52517986 25.55395683 14.15827338 18.76258993],108004,22,"[12, 18, 12]",3.5
18,[17.84172662 10.47482014 21.98561151 13.69784173],79210,11,"[20, 4, 29]",3.5
19,[ 3.22302158 14.15827338  7.82733813 38.79136691],124794,28,"[7, 12, 17]",3.3333333333333335
20,[25.55395683 17.84172662 19.22302158  1.38129496],103586,3,"[18, 20, 23]",3.5833333333333335
21,[27.39568345  7.82733813 26.01438849  2.76258993],97556,6,"[22, 17, 19]",3.8333333333333335
22,[ 4.60431655  7.36690647 40.17266187 11.85611511],84778,7,"[10, 16, 31]",3.25
23,[ 4.14388489 15.53956835  7.36690647 36.94964029],97448,24,"[9, 15, 16]",3.0833333333333335
24,[43.39568345  4.14388489  5.0647482  11.39568345],100437,6,"[38, 9, 11]",3.75
25,[ 4.14388489 22.79136691 32.          5.0647482 ],86058,11,"[9, 12, 32]",3.5
26,[22.44604317 13.69784173 16.46043165 11.39568345],90374,6,"[30, 11, 17]",3.4166666666666665
27,[ 3.68345324 43.39568345  9.55395683  7.36690647],86782,16,"[8, 38, 2]",3.5833333333333335
28,[26.01438849  2.76258993 28.77697842  6.44604317],70989,14,"[19, 6, 25]",3.25
29,[ 9.55395683 24.28776978 25.55395683  4.60431655],95806,10,"[2, 34, 18]",3.75
