,game_utilities,total_nodes,final_hands,avg_depth,players_names
0,[ 3.22302158 17.84172662 32.         10.9352518 ],"[12, 94387, 105176, 84379]","[7, 20, 32, 5]","[0.0, 3.5, 6.0, 3.4166666666666665]","['random_player', 'optimal_player', 'paranoid_player', 'suboptimal_player']"
1,[ 3.68345324 14.15827338 24.17266187 21.98561151],"[101091, 12, 90988, 80]","[8, 12, 15, 29]","[3.8333333333333335, 0.0, 3.5, 0.0]","['suboptimal_player', 'random_player', 'optimal_player', 'weak_player']"
2,[ 3.68345324  0.92086331 42.9352518  16.46043165],"[107134, 106, 75088, 105923]","[8, 2, 37, 17]","[3.6666666666666665, 0.0, 5.333333333333333, 3.3333333333333335]","['optimal_player', 'weak_player', 'bounded_paranoid_player', 'suboptimal_player']"
3,[48.8057554   6.44604317  7.82733813  0.92086331],"[95550, 114, 84965, 12]","[31, 14, 17, 2]","[3.25, 0.0, 3.3333333333333335, 0.0]","['suboptimal_player', 'weak_player', 'optimal_player', 'random_player']"
4,[ 0.92086331  5.98561151 28.77697842 28.31654676],"[12, 98, 88361, 69792]","[2, 13, 25, 24]","[0.0, 0.0, 6.333333333333333, 3.4166666666666665]","['random_player', 'weak_player', 'bounded_paranoid_player', 'suboptimal_player']"
5,[13.69784173 14.61870504  6.44604317 29.23741007],"[116727, 90, 77903, 101634]","[11, 13, 14, 26]","[6.166666666666667, 0.0, 5.666666666666667, 3.5]","['bounded_paranoid_player', 'weak_player', 'paranoid_player', 'optimal_player']"
6,[13.23741007 14.15827338  2.76258993 33.84172662],"[110125, 12, 96137, 115306]","[10, 12, 6, 36]","[3.9166666666666665, 0.0, 6.083333333333333, 5.916666666666667]","['suboptimal_player', 'random_player', 'bounded_paranoid_player', 'paranoid_player']"
7,[19.22302158 18.76258993  3.68345324 22.33093525],"[77109, 97554, 73952, 115410]","[23, 22, 8, 11]","[5.333333333333333, 3.5, 3.25, 5.583333333333333]","['paranoid_player', 'suboptimal_player', 'optimal_player', 'bounded_paranoid_player']"
8,[39.71223022  7.82733813 10.47482014  5.98561151],"[124087, 91190, 96, 12]","[30, 17, 4, 13]","[3.5833333333333335, 5.666666666666667, 0.0, 0.0]","['optimal_player', 'paranoid_player', 'weak_player', 'random_player']"
9,[ 5.98561151 24.63309353  5.0647482  28.31654676],"[74464, 129, 88367, 73839]","[13, 16, 11, 24]","[5.583333333333333, 0.0, 3.3333333333333335, 5.25]","['bounded_paranoid_player', 'weak_player', 'optimal_player', 'paranoid_player']"
10,[ 0.46043165  3.68345324 30.61870504 29.23741007],"[12, 94, 122025, 81045]","[1, 8, 29, 26]","[0.0, 0.0, 5.75, 3.5833333333333335]","['random_player', 'weak_player', 'paranoid_player', 'suboptimal_player']"
11,[ 0.         27.39568345 14.61870504 21.98561151],"[12, 74264, 79897, 104195]","[0, 22, 13, 29]","[0.0, 3.3333333333333335, 3.25, 5.416666666666667]","['random_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
12,[19.22302158 13.23741007  3.68345324 27.85611511],"[92690, 83915, 79873, 90317]","[23, 10, 8, 23]","[3.6666666666666665, 3.4166666666666665, 5.75, 5.333333333333333]","['optimal_player', 'suboptimal_player', 'bounded_paranoid_player', 'paranoid_player']"
13,[13.23741007  1.38129496 21.52517986 27.85611511],"[90658, 12, 98691, 95986]","[10, 3, 28, 23]","[6.0, 0.0, 5.583333333333333, 3.75]","['bounded_paranoid_player', 'random_player', 'paranoid_player', 'suboptimal_player']"
14,[28.77697842 27.39568345  1.84172662  5.98561151],"[108795, 77761, 12, 84598]","[25, 22, 4, 13]","[5.916666666666667, 3.3333333333333335, 0.0, 3.1666666666666665]","['paranoid_player', 'suboptimal_player', 'random_player', 'optimal_player']"
15,[39.25179856  0.         18.76258993  5.98561151],"[118, 12, 121710, 101490]","[29, 0, 22, 13]","[0.0, 0.0, 3.6666666666666665, 5.75]","['weak_player', 'random_player', 'suboptimal_player', 'bounded_paranoid_player']"
16,[13.69784173 21.0647482  17.38129496 11.85611511],"[94509, 106414, 12, 92]","[11, 27, 19, 7]","[6.0, 5.916666666666667, 0.0, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'random_player', 'weak_player']"
17,[16.46043165  0.46043165 31.07913669 16.        ],"[104171, 12, 77360, 91802]","[17, 1, 30, 16]","[3.75, 0.0, 5.583333333333333, 3.5]","['suboptimal_player', 'random_player', 'paranoid_player', 'optimal_player']"
18,[14.15827338 16.          6.90647482 26.9352518 ],"[102926, 104067, 107844, 109834]","[12, 16, 15, 21]","[3.1666666666666665, 3.25, 5.25, 5.416666666666667]","['suboptimal_player', 'optimal_player', 'paranoid_player', 'bounded_paranoid_player']"
19,[ 1.84172662 21.8705036   3.68345324 36.60431655],"[82062, 86266, 106337, 111]","[4, 10, 8, 42]","[5.666666666666667, 3.6666666666666665, 3.5833333333333335, 0.0]","['paranoid_player', 'optimal_player', 'suboptimal_player', 'weak_player']"
20,[ 1.38129496 18.76258993 15.07913669 28.77697842],"[12, 97701, 66820, 114521]","[3, 22, 14, 25]","[0.0, 5.583333333333333, 3.3333333333333335, 5.833333333333333]","['random_player', 'paranoid_player', 'suboptimal_player', 'bounded_paranoid_player']"
21,[13.69784173  2.76258993 23.25179856 24.28776978],"[69141, 12, 69792, 121045]","[11, 6, 13, 34]","[5.75, 0.0, 3.3333333333333335, 5.583333333333333]","['bounded_paranoid_player', 'random_player', 'suboptimal_player', 'paranoid_player']"
