,game_utilities,total_nodes,final_hands,avg_depth,players_names
0,[ 0.46043165 25.55395683 31.07913669  6.90647482],"[12, 144873, 280796, 212202]","[1, 18, 30, 15]","[0.0, 3.5833333333333335, 5.5, 3.6666666666666665]","['random_player', 'optimal_player', 'paranoid_player', 'suboptimal_player']"
1,[ 4.60431655  4.14388489 27.85611511 27.39568345],"[222710, 12, 206058, 110]","[10, 9, 23, 22]","[3.9166666666666665, 0.0, 3.5, 0.0]","['suboptimal_player', 'random_player', 'optimal_player', 'weak_player']"
2,[24.17266187 29.23741007  3.68345324  6.90647482],"[224219, 119, 163641, 231201]","[15, 26, 8, 15]","[3.9166666666666665, 0.0, 5.75, 4.166666666666667]","['optimal_player', 'weak_player', 'bounded_paranoid_player', 'suboptimal_player']"
3,[32.46043165 26.01438849  4.60431655  0.92086331],"[233758, 100, 172925, 12]","[33, 19, 10, 2]","[4.083333333333333, 0.0, 4.083333333333333, 0.0]","['suboptimal_player', 'weak_player', 'optimal_player', 'random_player']"
4,[ 3.68345324 26.01438849 32.46043165  1.84172662],"[12, 111, 286419, 178000]","[8, 19, 33, 4]","[0.0, 0.0, 5.666666666666667, 3.5833333333333335]","['random_player', 'weak_player', 'bounded_paranoid_player', 'suboptimal_player']"
5,[16.92086331 19.22302158  6.44604317 21.41007194],"[196069, 108, 207228, 220256]","[18, 23, 14, 9]","[6.0, 0.0, 5.666666666666667, 3.9166666666666665]","['bounded_paranoid_player', 'weak_player', 'paranoid_player', 'optimal_player']"
6,[15.07913669 12.31654676 20.14388489 16.46043165],"[161773, 12, 189976, 205079]","[14, 8, 25, 17]","[3.9166666666666665, 0.0, 5.5, 5.333333333333333]","['suboptimal_player', 'random_player', 'bounded_paranoid_player', 'paranoid_player']"
7,[24.63309353 28.89208633  1.38129496  9.09352518],"[335821, 244576, 235498, 241415]","[16, 44, 3, 1]","[6.166666666666667, 4.25, 4.333333333333333, 6.0]","['paranoid_player', 'suboptimal_player', 'optimal_player', 'bounded_paranoid_player']"
8,[11.39568345 32.46043165 17.38129496  2.76258993],"[211234, 212442, 111, 12]","[6, 33, 19, 6]","[4.333333333333333, 6.083333333333333, 0.0, 0.0]","['optimal_player', 'paranoid_player', 'weak_player', 'random_player']"
9,[ 5.98561151 20.60431655 32.8057554   4.60431655],"[216149, 111, 201623, 242234]","[13, 26, 15, 10]","[5.5, 0.0, 3.75, 5.25]","['bounded_paranoid_player', 'weak_player', 'optimal_player', 'paranoid_player']"
10,[ 4.60431655 14.61870504 24.63309353 20.14388489],"[12, 138, 298589, 203598]","[10, 13, 16, 25]","[0.0, 0.0, 5.083333333333333, 3.4166666666666665]","['random_player', 'weak_player', 'paranoid_player', 'suboptimal_player']"
11,[ 2.76258993 28.77697842 24.63309353  7.82733813],"[12, 219742, 160830, 299549]","[6, 25, 16, 17]","[0.0, 3.5833333333333335, 3.4166666666666665, 5.0]","['random_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
12,[27.85611511 11.39568345  5.0647482  19.68345324],"[299700, 302567, 286905, 186268]","[23, 6, 11, 24]","[4.416666666666667, 4.166666666666667, 5.75, 5.416666666666667]","['optimal_player', 'suboptimal_player', 'bounded_paranoid_player', 'paranoid_player']"
13,[ 5.52517986  1.38129496 43.85611511 13.23741007],"[230332, 12, 291038, 207131]","[12, 3, 39, 10]","[5.333333333333333, 0.0, 4.833333333333333, 3.6666666666666665]","['bounded_paranoid_player', 'random_player', 'paranoid_player', 'suboptimal_player']"
14,[16.46043165 18.30215827 11.39568345 17.84172662],"[219465, 179632, 12, 257736]","[17, 21, 6, 20]","[5.833333333333333, 4.0, 0.0, 3.75]","['paranoid_player', 'suboptimal_player', 'random_player', 'optimal_player']"
15,[27.39568345 16.         16.92086331  3.68345324],"[103, 12, 236418, 214387]","[22, 16, 18, 8]","[0.0, 0.0, 3.9166666666666665, 5.5]","['weak_player', 'random_player', 'suboptimal_player', 'bounded_paranoid_player']"
16,[17.38129496  5.0647482  27.39568345 14.15827338],"[276966, 362683, 12, 73]","[19, 11, 22, 12]","[6.083333333333333, 5.666666666666667, 0.0, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'random_player', 'weak_player']"
17,[11.85611511  4.60431655 42.9352518   4.60431655],"[249413, 12, 273504, 205162]","[7, 10, 37, 10]","[3.9166666666666665, 0.0, 5.083333333333333, 3.5]","['suboptimal_player', 'random_player', 'paranoid_player', 'optimal_player']"
18,[31.88489209 15.53956835 11.05035971  5.52517986],"[175889, 197875, 194841, 220918]","[13, 15, 24, 12]","[3.75, 3.5833333333333335, 5.0, 5.083333333333333]","['suboptimal_player', 'optimal_player', 'paranoid_player', 'bounded_paranoid_player']"
19,[ 5.0647482  25.55395683 10.9352518  22.44604317],"[319667, 144477, 154645, 111]","[11, 18, 5, 30]","[5.916666666666667, 3.8333333333333335, 3.6666666666666665, 0.0]","['paranoid_player', 'optimal_player', 'suboptimal_player', 'weak_player']"
20,[16.46043165  1.38129496 10.1294964  36.02877698],"[12, 297157, 320758, 248655]","[17, 3, 22, 22]","[0.0, 5.833333333333333, 4.416666666666667, 6.083333333333333]","['random_player', 'paranoid_player', 'suboptimal_player', 'bounded_paranoid_player']"
