,game_utilities,total_nodes,final_hands_p4,final_hands_other,avg_depth
0,[ 1.84172662 18.30215827 28.31654676 15.53956835],83260,15,"[4, 21, 24]",3.5833333333333335
1,[ 9.20863309 26.9352518   0.46043165 27.39568345],93972,22,"[20, 21, 1]",4.25
2,[ 4.60431655 29.69784173 19.68345324 10.01438849],67841,3,"[10, 27, 24]",3.6666666666666665
3,[23.36690647 14.61870504 15.07913669 10.9352518 ],109420,5,"[32, 13, 14]",4.166666666666667
4,[14.15827338 21.0647482  10.47482014 18.30215827],95921,21,"[12, 27, 4]",4.25
5,[ 2.76258993 53.41007194  3.68345324  4.14388489],116318,9,"[6, 41, 8]",3.5833333333333335
6,[14.15827338 19.68345324 29.23741007  0.92086331],73116,2,"[12, 24, 26]",3.25
7,[32.92086331 15.07913669 14.15827338  1.84172662],110949,4,"[34, 14, 12]",4.333333333333333
8,[22.44604317 13.23741007 26.01438849  2.30215827],117969,5,"[30, 10, 19]",3.9166666666666665
9,[ 2.30215827 28.31654676 29.23741007  4.14388489],91031,9,"[5, 24, 26]",3.3333333333333335
10,[ 5.52517986 11.85611511 27.39568345 19.22302158],112724,23,"[12, 7, 22]",3.1666666666666665
11,[19.68345324  5.52517986 24.63309353 14.15827338],115229,12,"[24, 12, 16]",4.333333333333333
12,[ 0.92086331  4.14388489 56.63309353  2.30215827],114899,5,"[2, 9, 48]",3.8333333333333335
13,[ 2.76258993 20.14388489 38.79136691  2.30215827],89496,5,"[6, 25, 28]",3.3333333333333335
14,[16.46043165 28.77697842  2.30215827 16.46043165],107577,17,"[17, 25, 5]",4.416666666666667
15,[16.46043165 27.85611511 14.15827338  5.52517986],76474,12,"[17, 23, 12]",3.4166666666666665
16,[ 1.38129496 28.31654676 32.          2.30215827],88657,5,"[3, 24, 32]",4.083333333333333
17,[ 1.38129496 26.47482014 18.30215827 17.84172662],94409,20,"[3, 20, 21]",3.75
18,[16.         28.31654676 14.61870504  5.0647482 ],69503,11,"[16, 24, 13]",3.4166666666666665
19,[ 5.0647482  12.77697842 15.53956835 30.61870504],89459,29,"[11, 9, 15]",3.75
20,[ 5.98561151  0.46043165 32.46043165 25.09352518],102782,17,"[13, 1, 33]",3.5
21,[27.39568345  4.60431655 27.39568345  4.60431655],77792,10,"[22, 10, 22]",4.166666666666667
22,[25.55395683  9.66906475 23.71223022  5.0647482 ],110272,11,"[18, 21, 14]",3.9166666666666665
23,[ 2.76258993  9.20863309 35.10791367 16.92086331],83026,18,"[6, 20, 20]",3.25
24,[17.84172662 16.         18.76258993 11.39568345],77920,6,"[20, 16, 22]",3.5
25,[28.77697842 11.85611511  2.76258993 20.60431655],100775,26,"[25, 7, 6]",3.9166666666666665
26,[41.09352518  7.82733813 13.69784173  1.38129496],91482,3,"[33, 17, 11]",3.9166666666666665
27,[ 5.98561151 42.47482014  0.46043165 15.07913669],84552,14,"[13, 36, 1]",3.5833333333333335
28,[25.55395683 24.63309353  9.66906475  4.14388489],109500,9,"[18, 16, 21]",3.9166666666666665
29,[ 9.55395683 24.28776978 25.55395683  4.60431655],112095,10,"[2, 34, 18]",3.9166666666666665
